CODE,Id,lat,lon,.geo
1793,0,39.13886131,-76.99067637,"{""type"":""Polygon"",""coordinates"":[[[-76.99542722381545,39.13411430408094],[-76.98592927995958,39.134114286710314],[-76.98592927995958,39.143612141802265],[-76.99506154328859,39.14361219119677],[-76.99542722381545,39.14341149845404],[-76.99542722381545,39.13411430408094]]]}"
1794,0,39.17686367,-77.24717691,"{""type"":""Polygon"",""coordinates"":[[[-77.25192808342508,39.181612616085175],[-77.25192808342508,39.17211472384077],[-77.24242574621901,39.172114738311166],[-77.24242574621901,39.18161263572402],[-77.25192808342508,39.181612616085175]]]}"
1795,0,38.87291158,-76.79112522,"{""type"":""Polygon"",""coordinates"":[[[-76.78642915232986,38.86811549643142],[-76.78642915232986,38.87761338500577],[-76.79592700073874,38.87761337581769],[-76.79592700073874,38.87045656530525],[-76.795021833575,38.86811548171434],[-76.78642915232986,38.86811549643142]]]}"
1796,0,38.83486398,-76.87667688,"{""type"":""Polygon"",""coordinates"":[[[-76.88142582904135,38.830115027446176],[-76.87192792618866,38.830115060607135],[-76.87192792618866,38.83961295448232],[-76.88142582904135,38.8396129223145],[-76.88142582904135,38.830115027446176]]]}"
1797,0,39.26236595,-77.19017918,"{""type"":""Polygon"",""coordinates"":[[[-77.19492741058163,39.267115906774364],[-77.19492741058163,39.2576135344969],[-77.18770364823204,39.257613525554014],[-77.18743164741923,39.25777854589768],[-77.1874093608734,39.25761355981373],[-77.18542952676637,39.25761351206894],[-77.18542952676637,39.2671158882313],[-77.19492741058163,39.267115906774364]]]}"
1798,0,39.01718368,-77.28107426,"{""type"":""Polygon"",""coordinates"":[[[-77.28042619344917,39.01157821416777],[-77.28042619344917,39.02011293155844],[-77.28195564167095,39.020112924358635],[-77.28211616901498,39.018850971084895],[-77.28168815405742,39.0162558040308],[-77.28121542453786,39.01507410843351],[-77.28042619344917,39.01157821416777]]]}"
1799,0,38.78736342,-77.21867659,"{""type"":""Polygon"",""coordinates"":[[[-77.21392764914397,38.78261222891328],[-77.21392764914397,38.7921146174951],[-77.22342552775937,38.79211463627034],[-77.22342552775937,38.7826122532319],[-77.21392764914397,38.78261222891328]]]}"
1800,0,39.2179228,-77.240387,"{""type"":""MultiPolygon"",""coordinates"":[[[[-77.2399732359907,39.21011519637657],[-77.2391928492331,39.21011518070365],[-77.23993754073256,39.210173126672],[-77.2399732359907,39.21011519637657]]],[[[-77.24242574621901,39.2173879682067],[-77.23882721108895,39.21613499532987],[-77.23857304411193,39.21937227407042],[-77.24110583127171,39.21890856715835],[-77.24242574621901,39.21944365748451],[-77.24242574621901,39.2173879682067]]]]}"
1801,0,39.23940757,-77.23809515,"{""type"":""Polygon"",""coordinates"":[[[-77.235625614369,39.238613298702354],[-77.23542941463626,39.24048610670726],[-77.23816732301938,39.24062879257399],[-77.23883168400187,39.23975931781959],[-77.24155618265108,39.23924647541273],[-77.24242574621901,39.2386935800389],[-77.24242574621901,39.23861330710862],[-77.235625614369,39.238613298702354]]]}"
1802,0,39.00586381,-76.95267783,"{""type"":""Polygon"",""coordinates"":[[[-76.94792886717927,39.00111265580212],[-76.94792886717927,39.01061498279904],[-76.95742678324108,39.010614992739036],[-76.95742678324108,39.00111266570432],[-76.94792886717927,39.00111265580212]]]}"
